"","StemTag","sp","crown_living","broken_stem","defoliation","rot","wound","fire","insect","canker","leaf_damage","hollow_stem","overtopped","animal","lightning","fungi","crushed","bark_beetles","unknown","postfire_leaf_loss","water","bai","ba_m_2019","idw_con","idw_het"
"1",101003,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,0,0.0486954715288052,624.708296475849,24.4285065802161
"2",101006,"PIPA",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,12.3642529415976,0.0483051286415967,442.871892840549,31.8145696438608
"3",101011,"PIPA",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,3.20271154627555,0.011499014510302,482.894783097341,102.229294738467
"4",101012,"PIPA",91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,8.29671003488468,0.0116898662640076,980.015216760884,87.4409054274488
"5",101013,"PIPA",92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,2.67247067938443,0.0271716348608981,764.73629796699,84.5769095369087
"6",101014,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,11.6823121475478,0.0301718558450764,540.611870823238,81.4171767442495
"7",101017,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,6.48765295960907,0.0143138815279185,465.26360967754,144.536177567935
"8",101021,"QULA",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,9.86758404695785,0.0211240690027378,64.3733724272397,579.720445600566
"9",101022,"PIPA",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,-0.430997923890114,0.00465662571078347,538.284031975199,128.800368480429
"10",101027,"QULA",61,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,3.7896626663101,0.0105683176866761,38.8297626707057,546.467528352436
"11",101029,"PIPA",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,0.58240981454311,0.0330063578167778,856.53272522677,39.9585701307091
"12",101031,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,16.3325529053095,0.040828138126053,502.548882100675,65.9527329734644
"13",101033,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,4.05986403568362,0.00608212337734984,563.313368317817,55.7680691264073
"14",101035,"QULA",91,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12.192,3.26489589466495,0.01539380400259,25.1464345269164,628.645074336145
"15",101036,"PIPA",91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.192,3.10193451103366,0.00693977817177985,731.398255636467,50.434322061113
"16",101051,"PIPA",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,6.31298229632478,0.0463769761504559,725.870349826894,33.0898717775543
"17",101064,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,2.34239275776093,0.0589645525152268,810.193325766022,20.8966490470614
"18",101066,"PIPA",92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,0.568239259444728,0.0314159265358979,949.350408036472,15.1278936088931
"19",103002,"QULA",87,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9728,0.794968141018679,0.006647610054996,84.8656618172956,458.639973380458
"20",103003,"QULA",93,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9728,3.55822638520125,0.0143138815279185,78.9609824371145,614.528460189562
"21",103004,"PIPA",92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9728,0.306083990124839,0.00220618344098343,444.026594984733,158.549500174054
"22",103005,"QULA",96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9728,7.34601576299612,0.0186265028431339,65.0180012738223,354.713552975277
"23",103010,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9728,5.73482364831121,0.00738981131940659,124.148460536361,73.424475732329
"24",103013,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,0.250818825241187,0.000615752160103599,283.777364021551,42.1446257557521
"25",103014,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,0.60508270270049,0.00057255526111674,336.501897073353,41.1824526828565
